box_id,original_no,province_zone,subzone,store_name,floor,contact,landmark,gps_lat,gps_lng,google_maps_url,status,cycle_months,last_collect_month,last_collect_day,last_collect_date,next_due_date,note
กทม.-1,,กทม.,โรงแรมเวสทินแกรนด์สุขุมวิท,ถนน พระราม 4,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-2,,กทม.,บริษัท บิทคับ ออนไลน์ จำกัด Bitkub Online,เซ็นทรัลพระราม3,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-3,,กทม.,ธนาคารออมสิน เซ็นทรัลพระราม 3(จิ๋ว),ทุ่งมหาเมฆ,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-4,,กทม.,ศูนย์บริการNT สาขาทุ่งมหาเมฆ  (ติดประปา),สีลม/สาธร,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-5,,กทม.,โรงพยาบาลกรุงเทพคริสเตียน,วิภาวดี ฯ,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-6,,กทม.,สมาคมพระคริสต์ธรรมไทย,รัชโยธิน,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-7,,กทม.,ร้านปังเว้ยเฮ้ย แยกรัชโยธิน,ถนนรัชดา,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-8,,กทม.,มหิศร/  2  เวสท์ (กล่อง รังผึ้ง),ห้วยขวาง,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-9,,กทม.,ร้านเสริมสวยบิ้วตี้ ทาม ซาลอน,ถนนลาดพร้าว,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-10,,กทม.,คลีนิคแพทย์ลาดพร้าว ซอยลาดพร้าว 35/1,ศึกษาภัณฑ์ลาดพร้าว,,,,,,,ใช้งาน,3,มี.ค,2,,,
กทม.-11,,กทม.,คลีนิคแพทย์ลาดพร้าว ซอยลาดพร้าว 35/1,ศึกษาภัณฑ์ลาดพร้าว,,,,,,,ใช้งาน,3,มี.ค,2,,,
กทม.-12,,กทม.,บ้านพีรวิทย์,ธนาคารออมสิน สาขาโชคชัย 4,,,,,,,ใช้งาน,3,มี.ค,2,,,
กทม.-13,,กทม.,บ้านพีรวิทย์,ครัวทะเลใต้-ป้าตาท่าศาลา,,,ลาดพร้าว ซอย 71,,,,ใช้งาน,3,มี.ค,2,,,
กทม.-14,,กทม.,มหาวิทยาลัยรัตนบัณฑิตย์(RBAC),บิ๊กซีลาดพร้าว,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-15,,กทม.,สยมภู เทเลคอม,โซนอนุสาวรีย์ชัย,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-16,,กทม.,TEXAS สุกี้ สาขาเยาวราช(ขาตั้ง),สถานีรถไฟฟ้าสายสีน้ำเงิน (MRT),,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-17,,กทม.,สถานีรถไฟฟ้าจตุจักร,ถนนจรัญสนิทวงศ์/บางพลัด,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-18,,กทม.,สถานีรถไฟฟ้าจตุจักร,ศูนย์มาสด้า พิบูลย์สงคราม,,,,,,,ใช้งาน,3,มี.ค,23,,,
กทม.-19,,กทม.,สถานีรถไฟฟ้าจตุจักร,สรรพากรพื้นที่เขตบางพลัด,,,,,,,ใช้งาน,3,มี.ค,23,,,
กทม.-20,,กทม.,มายซาลอน&บิวตึ้,Postnet  โลตัสจรัล,ชั้น 2,,,,,,ใช้งาน,3,มี.ค,23,,,
กทม.-21,,กทม.,มายซาลอน&บิวตึ้,ตลาดพลู,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-22,,กทม.,ร้านข้าวหมูทอดบ้านแขก สี่แยกบ้านแขก,วงเวียนใหญ่,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-23,,กทม.,ธนาคารออมสิน สาขาวงเวียนใหญ่,ถนนสมเด็จพระเจ้าตากสิน,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-24,,กทม.,คลังยาจอมทอง,ห้างตั้งฮั่วเส็ง ธนบุรี-ถ.สิรินธร,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
กทม.-25,,กทม.,คลังยาจอมทอง,ศูนย์ทันตกรรมแนวใหม่ ถ.สิรินธร,,,,,,,ใช้งาน,3,มี.ค,23,,,
"กทม.-357,359,365,361,363 ถนน สิรินธร","357,359,365,361,363 ถนน สิรินธร",กทม.,คลังยาจอมทอง,D'life Coffee(กาแฟดีไลฟ์),,อยู่ใน บริษัท หัตถศาสตร์ไทย จำกัด,,,,,ใช้งาน,3,มี.ค,น้อย,,,
กทม.-27,,กทม.,คลังยาจอมทอง,ปิ่นเกล้า,,,,,,,ใช้งาน,3,มี.ค,มี.ค.,,,
